,Personality,Probability
2,ENTJ,0.14550508214943209
10,INTJ,0.10803394270908642
15,ISTP,0.08636123851384417
14,ISTJ,0.08548994346056374
11,INTP,0.08324601105223392
13,ISFP,0.07502902139924182
3,ENTP,0.06649749679125179
8,INFJ,0.054665354378123816
9,INFP,0.051936974441558134
0,ENFJ,0.05092792263074872
1,ENFP,0.04676602422406037
12,ISFJ,0.045912791802413554
7,ESTP,0.039447158848193706
5,ESFP,0.023606681304310758
6,ESTJ,0.023166214908603183
4,ESFJ,0.013408141386333877
